3,3,0.3198,0.4064,0.0729,0.0036,0.0987,0.0467,0.0516
2,2,0.3279,0.4013,0.0751,0,0.1188,0.046,0.0309
2,4,0.2593,0.4986,0.0741,0.0085,0.0855,0.0513,0.0228
1,4,0.309,0.4494,0.0562,0.0056,0.0562,0.0449,0.0787
2,0,0.3125,0.4275,0.0715,0.0042,0.1002,0.0463,0.0378
1,2,0.344,0.3803,0.0736,0.0052,0.0912,0.0446,0.0611
3,1,0.3625,0.352,0.0676,0.004,0.1181,0.0405,0.0553
1,0,0.3651,0.3492,0.0635,0.0048,0.1222,0.0333,0.0619
3,4,0.2939,0.4733,0.0611,0.0076,0.084,0.0458,0.0344
4,4,0.2788,0.5048,0.0721,0.0048,0.0769,0.0385,0.024
2,3,0.3288,0.4066,0.0767,0.0016,0.1027,0.0444,0.0389
0,0,0.3049,0.4105,0.0648,0.0029,0.1288,0.0509,0.0371
3,0,0.3329,0.4316,0.0506,0.0025,0.1038,0.0392,0.038
4,2,0.3197,0.387,0.0773,0.0021,0.123,0.0515,0.0393
0,1,0.3742,0.3433,0.0594,0.0043,0.133,0.0447,0.0409
0,2,0.3069,0.3966,0.06,0.0011,0.1343,0.0526,0.0486
2,1,0.3548,0.3636,0.0673,0.0051,0.1205,0.0434,0.0444
0,4,0.2276,0.5345,0.069,0.0103,0.1,0.0207,0.0379
3,2,0.3262,0.3953,0.0683,0.0037,0.0911,0.0551,0.0602
4,1,0.3412,0.3742,0.0687,0.0044,0.1273,0.0484,0.0355
4,0,0.311,0.4165,0.0679,0.0018,0.1275,0.0385,0.0367
4,3,0.3004,0.4145,0.0714,0.0023,0.1181,0.0584,0.035
0,3,0.3272,0.4037,0.0709,0.0014,0.1074,0.051,0.0381
1,3,0.3552,0.3741,0.0758,0.007,0.078,0.0325,0.0774
1,1,0.399,0.3505,0.058,0.0024,0.0984,0.0267,0.0645
