Sno,Team1,Team2,Day,Date,Time,Venue
1,MI,CSK,Sat,07-04-2018,8 (PM),Mumbai
2,DD,KXP,Sun,08-04-2018,4 (PM),Delhi
3,KKR,RCB,Sun,08-04-2018,8 (PM),Kolkata
4,SRH,RR,Mon,09-04-2018,8 (PM),Hyderabad
5,CSK,KKR,Tue,10-04-2018,8 (PM),Chennai
6,RR,DD,Wed,11-04-2018,8 (PM),Jaipur
7,SRH,MI,Thu,12-04-2018,8 (PM),Hyderabad
8,RCB,KXP,Fri,13-04-2018,8 (PM),Bengaluru
9,MI,DD,Sat,14-04-2018,4 (PM),Mumbai
10,KKR,SRH,Sat,14-04-2018,8 (PM),Kolkata
11,RCB,RR,Sun,15-04-2018,4 (PM),Bengaluru
12,KXP,CSK,Sun,15-04-2018,8 (PM),Indore
13,KKR,DD,Mon,16-04-2018,8 (PM),Kolkata
14,MI,RCB,Tue,17-04-2018,8 (PM),Mumbai
15,RR,KKR,Wed,18-04-2018,8 (PM),Jaipur
16,KXP,SRH,Thu,19-04-2018,8 (PM),Indore
17,CSK,RR,Fri,20-04-2018,8 (PM),Chennai
18,KKR,KXP,Sat,21-04-2018,4 (PM),Kolkata
19,DD,RCB,Sat,21-04-2018,8 (PM),Delhi
20,SRH,CSK,Sun,22-04-2018,4 (PM),Hyderabad
21,RR,MI,Sun,22-04-2018,8 (PM),Jaipur
22,KXP,DD,Mon,23-04-2018,8 (PM),Indore
23,MI,SRH,Tue,24-04-2018,8 (PM),Mumbai
24,RCB,CSK,Wed,25-04-2018,8 (PM),Bengaluru
25,SRH,KXP,Thu,26-04-2018,8 (PM),Hyderabad
26,DD,KKR,Fri,27-04-2018,8 (PM),Delhi
27,CSK,MI,Sat,28-04-2018,8 (PM),Chennai
28,RR,SRH,Sun,29-04-2018,4 (PM),Jaipur
29,RCB,KKR,Sun,29-04-2018,8 (PM),Bengaluru
30,CSK,DD,Mon,30-04-2018,8 (PM),Chennai
31,RCB,MI,Tue,01-05-2018,8 (PM),Bengaluru
32,DD,RR,Wed,02-05-2018,8 (PM),Delhi
33,KKR,CSK,Thu,03-05-2018,8 (PM),Kolkata
34,KXP,MI,Fri,04-05-2018,8 (PM),Mohali
35,CSK,RCB,Sat,05-05-2018,4 (PM),Chennai
36,SRH,DD,Sat,05-05-2018,8 (PM),Hyderabad
37,MI,KKR,Sun,06-05-2018,4 (PM),Mumbai
38,KXP,RR,Sun,06-05-2018,8 (PM),Mohali
39,SRH,RCB,Mon,07-05-2018,8 (PM),Hyderabad
40,RR,KXP,Tue,08-05-2018,8 (PM),Jaipur
41,KKR,MI,Wed,09-05-2018,8 (PM),Kolkata
42,DD,SRH,Thu,10-05-2018,8 (PM),Delhi
43,RR,CSK,Fri,11-05-2018,8 (PM),Jaipur
44,KXP,KKR,Sat,12-05-2018,4 (PM),Mohali
45,RCB,DD,Sat,12-05-2018,8 (PM),Bengaluru
46,CSK,SRH,Sun,13-05-2018,4 (PM),Chennai
47,MI,RR,Sun,13-05-2018,8 (PM),Mumbai
48,KXP,RCB,Mon,14-05-2018,8 (PM),Mohali
49,KKR,RR,Tue,15-05-2018,8 (PM),Kolkata
50,MI,KXP,Wed,16-05-2018,8 (PM),Mumbai
51,RCB,SRH,Thu,17-05-2018,8 (PM),Bengaluru
52,DD,CSK,Fri,18-05-2018,8 (PM),Delhi
53,RR,RCB,Sat,19-05-2018,4 (PM),Jaipur
54,SRH,KKR,Sat,19-05-2018,8 (PM),Hyderabad
55,DD,MI,Sun,20-05-2018,4 (PM),Delhi
56,CSK,KXP,Sun,20-05-2018,8 (PM),Chennai
